Name,User Populariy,User Rating,Global Popularity,Global Rating,misc
Saiki Kusuo no Ψ-nan: Kanketsu-hen,3,7.667,210927,8.20,373
Sakamichi no Apollon,2,8.5,376595,8.31,374
Sakugan,1,4.0,98821,6.51,375
Shaman King,2,8.0,359296,7.75,376
Shigatsu wa Kimi no Uso,8,9.125,2144708,8.65,377
Shiguang Dailiren II,5,7.6,80179,8.37,378
Soul Eater,5,6.0,1585530,7.84,379
Spider Riders: Oracle no Yuusha-tachi,1,4.0,9443,6.56,380
Stranger: Mukou Hadan,5,7.2,325978,8.26,381
Suzume no Tojimari,2,6.0,271284,8.37,382
Tate no Yuusha no Nariagari,9,7.222,1526943,7.97,383
Tenki no Ko,10,6.2,953469,8.29,384
The Last: Naruto the Movie,6,6.167,588192,7.79,385
Toki wo Kakeru Shoujo,3,7.667,775875,8.11,386
Tokyo Godfathers,7,8.143,282365,8.27,387
Toradora!,8,7.625,2149245,8.08,388
Vinland Saga Season 2,15,8.933,507220,8.82,389
Violet Evergarden Movie,6,8.167,568677,8.89,390
Yu☆Gi☆Oh! 5D's,1,7.0,137964,7.44,391
Yu☆Gi☆Oh! Duel Monsters GX,1,6.0,211961,7.20,392
Yu☆Gi☆Oh! Movie: Chou Yuugou! Toki wo Koeta Kizuna,1,7.0,47877,7.13,393
Yu☆Gi☆Oh! Zexal,1,6.0,75716,6.41,394
Yu☆Gi☆Oh! Zexal Second,1,6.0,39267,6.89,395
Yuri!!! on Ice,1,6.0,862341,7.90,396
"Jitsu wa Ore, Saikyou deshita?",1,7.0,99189,6.50,397
Nanatsu no Maken ga Shihai suru,1,8.0,108247,6.68,398
Suki na Ko ga Megane wo Wasureta,1,6.0,148532,6.89,399
Another,11,5.727,1626208,7.48,400
B: The Beginning,1,8.0,338517,7.17,401
Bokura wa Minna Kawai-sou,1,7.0,377434,7.66,402
Clannad,6,7.167,1386500,8.00,403
Clannad: After Story,5,8.8,1164082,8.93,404
Claymore,8,6.75,658025,7.74,405
Dumbbell Nan Kilo Moteru?,5,7.2,382161,7.25,406
Durarara!!x2 Ketsu,2,9.0,371183,8.06,407
Durarara!!x2 Shou,2,9.0,473994,7.98,408
Durarara!!x2 Ten,2,9.0,387739,7.97,409
Fantasy Bishoujo Juniku Ojisan to,2,5.0,161636,7.15,410
Fullmetal Alchemist,6,6.833,1441125,8.11,411
GetBackers,1,8.0,120857,7.58,412
Gin no Saji,2,7.0,287396,8.09,413
Happy Sugar Life,3,6.667,292656,6.78,414
Inu x Boku SS,1,7.0,495753,7.38,415
"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta",6,4.167,247232,6.36,416
Isekai Shoukan wa Nidome desu,1,4.0,129789,5.67,417
Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou,3,3.333,93159,6.59,418
K,1,8.0,747105,7.43,419
K: Return of Kings,1,8.0,325352,7.56,420
Kaminaki Sekai no Kamisama Katsudou,3,5.333,150622,6.77,421
Kanojo mo Kanojo,6,6.167,344261,6.53,422
Karin,1,8.0,175971,7.11,423
Kengan Ashura,2,7.0,150432,7.45,424
Kengan Ashura Part 2,2,7.0,95292,7.68,425
Kenja no Mago,4,5.0,565311,6.62,426
Kotoura-san,2,6.5,331512,7.16,427
Level 1 dakedo Unique Skill de Saikyou desu,1,5.0,75206,6.28,428
Mahouka Koukou no Rettousei,5,5.2,1034934,7.40,429
Mahouka Koukou no Yuutousei,1,6.0,128059,6.66,430
Mahoutsukai no Yome,2,8.0,895040,8.06,431
Mamotte! Lollipop,1,6.0,25067,6.61,432
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",5,6.4,757404,7.37,433
Nazo no Kanojo X,5,7.0,306916,7.24,434
Okashi na Tensei,1,8.0,56048,6.72,435
Robotics;Notes,1,6.0,175806,7.32,436
Rosario to Vampire,2,6.0,672289,6.75,437
Rosario to Vampire Capu2,2,6.0,411563,6.90,438
Saikyou Onmyouji no Isekai Tenseiki,1,7.0,174859,7.18,439
Sakura Trick,1,6.0,257044,6.96,440
Sankarea,2,7.0,602281,7.28,441
"Seija Musou: Salaryman, Isekai de Ikinokoru Tame ni Ayumu Michi",1,6.0,64015,7.04,442
Seto no Hanayome,1,10.0,322950,7.67,443
Shinigami Bocchan to Kuro Maid,3,7.333,226966,7.61,444
Shinigami Bocchan to Kuro Maid 2nd Season,1,8.0,63718,7.60,445
Tomo-chan wa Onnanoko!,7,7.857,340688,7.83,446
Tonari no Kaibutsu-kun,4,7.0,1052842,7.47,447
Tondemo Skill de Isekai Hourou Meshi,2,8.0,185801,7.68,448
